target,ip address,domain name,type
academico.google.com,74.125.68.147,academico.google.com,alias
academico.google.com,74.125.68.147,scholar.google.com,alias
adsense.google.com,216.58.220.14,adsense.google.com,alias
alerts.google.com,216.58.220.14,alerts.google.com,alias
analytics.google.com,216.58.220.14,analytics.google.com,alias
ap.google.com,74.125.68.106,ap.google.com,alias
apps.google.com,216.58.220.14,apps.google.com,alias
blog.google.com,216.58.220.9,blog.google.com,alias
blog.google.com,216.58.220.9,www.blogger.com,alias
calendar.google.com,216.58.220.14,calendar.google.com,alias
catalog.google.com,216.58.220.14,catalog.google.com,alias
catalog.google.com,216.58.220.14,books.google.com,alias
code.google.com,216.58.199.174,code.google.com,alias
d.google.com,216.58.220.14,d.google.com,alias
developer.google.com,216.58.220.14,developer.google.com,alias
developers.google.com,216.58.220.14,developers.google.com,alias
dir.google.com,216.58.220.14,dir.google.com,alias
dir.google.com,216.58.220.14,directory.google.com,alias
directory.google.com,216.58.220.14,directory.google.com,alias
download.google.com,216.58.199.164,download.google.com,alias
downloads.google.com,216.58.199.164,downloads.google.com,alias
earth.google.com,216.58.220.14,earth.google.com,alias
edu.google.com,216.58.220.14,edu.google.com,alias
email.google.com,216.58.220.14,email.google.com,alias
email.google.com,216.58.220.14,gmail.google.com,alias
enterprise.google.com,216.58.220.14,enterprise.google.com,alias
feeds.google.com,108.170.217.160,feeds.google.com,alias
feeds.google.com,108.170.217.160,uploads.google.com,alias
fi.google.com,216.58.220.14,fi.google.com,alias
games.google.com,216.58.220.14,games.google.com,alias
gd.google.com,216.58.199.164,gd.google.com,alias
gmail.google.com,216.58.220.14,gmail.google.com,alias
group.google.com,74.125.68.102,group.google.com,alias
groups.google.com,74.125.68.102,groups.google.com,alias
gw1.google.com,74.125.68.104,gw1.google.com,alias
help.google.com,216.58.220.14,help.google.com,alias
id.google.com,216.58.220.163,id.google.com,alias
image.google.com,216.58.220.14,image.google.com,alias
image.google.com,216.58.220.14,images.google.com,alias
images.google.com,216.58.220.14,images.google.com,alias
investor.google.com,216.58.220.14,investor.google.com,alias
investors.google.com,216.58.220.14,investors.google.com,alias
jobs.google.com,216.58.220.14,jobs.google.com,alias
kh.google.com,216.58.199.142,kh.google.com,alias
labs.google.com,216.58.220.14,labs.google.com,alias
local.google.com,216.58.220.14,local.google.com,alias
m.google.com,216.58.220.11,m.google.com,alias
mail.google.com,216.58.199.165,mail.google.com,alias
mail2.google.com,74.125.68.17,mail2.google.com,alias
map.google.com,216.58.220.14,map.google.com,alias
mars.google.com,216.58.220.14,mars.google.com,alias
mobile.google.com,216.58.220.11,mobile.google.com,alias
moon.google.com,216.58.220.14,moon.google.com,alias
movies.google.com,216.58.220.14,movies.google.com,alias
mt.google.com,216.58.220.14,mt.google.com,alias
music.google.com,216.58.220.14,music.google.com,alias
news.google.com,216.58.220.14,news.google.com,alias
newsfeed.google.com,64.233.183.140,newsfeed.google.com,alias
nntp.google.com,64.233.183.140,nntp.google.com,alias
partners.google.com,216.58.220.14,partners.google.com,alias
pki.google.com,216.58.220.14,pki.google.com,alias
products.google.com,216.58.220.14,products.google.com,alias
relay.google.com,216.58.220.14,relay.google.com,alias
research.google.com,216.58.220.14,research.google.com,alias
sb.google.com,216.58.220.174,sb.google.com,alias
search.google.com,216.58.220.14,search.google.com,alias
security.google.com,216.58.220.14,security.google.com,alias
services.google.com,216.58.220.14,services.google.com,alias
shopping.google.com,216.58.220.14,shopping.google.com,alias
sms.google.com,216.58.220.14,sms.google.com,alias
support.google.com,216.58.220.14,support.google.com,alias
talk.google.com,74.125.68.125,talk.google.com,alias
tools.google.com,74.125.200.138,tools.google.com,alias
tv.google.com,74.125.68.138,tv.google.com,alias
upload.google.com,216.58.220.15,upload.google.com,alias
video.google.com,216.58.220.174,video.google.com,alias
videos.google.com,216.58.220.174,videos.google.com,alias
videos.google.com,216.58.220.174,video.google.com,alias
voice.google.com,216.58.199.174,voice.google.com,alias
w.google.com,216.58.220.14,w.google.com,alias
wap.google.com,216.58.220.14,wap.google.com,alias
web.google.com,216.58.220.14,web.google.com,alias
webmaster.google.com,216.58.220.14,webmaster.google.com,alias
work.google.com,216.58.220.14,work.google.com,alias
ww.google.com,216.58.220.14,ww.google.com,alias
